method,name,params_total_M,params_fp32_M,params_int8_M,params_fp16_M,gmacs_dev,gmacs_128,macs_quantized_pct,weights_theory_mb,size_mb,rss_model_mb,rss_peak_mb,lat_bs1_mean_ms,lat_bs1_std_ms,lat_bs1_median_ms,lat_bs1_p95_ms,batched_ms_per_sample,accuracy_pct,macro_f1,quant_time_s,size_reduction_x,speedup_bs1,speedup_batched,delta_acc_pp,agreement_pct,fixed,broken,mcnemar_p
fp32,FP32 (baseline),66.95501,66.95501,0.0,0.0,1.0760654267889906,5.587404288,0.0,267.82004,267.859887,270.57766399999997,774.078464,44.25486112329863,10.245577491252684,42.243350006174296,63.315614973544136,51.789775267564686,91.05504587155964,0.9104298356510746,0.0,1.0,1.0,1.0,0.0,100.0,0,0,1.0
dq_int8_per_tensor,INT8 per-tensor,66.95501,23.896322,43.058688,0.0,1.0760654267889906,5.587404288,99.36559483879384,138.643976,138.714199,290.18521599999997,827.82208,14.147915367150269,3.3501797385743943,13.630549976369366,20.201454998459663,17.53239896777602,90.02293577981652,0.9000293860683681,0.8287844000151381,1.9310199599681932,3.0991669506666697,2.9539468821552948,-1.032110091743121,95.75688073394495,14,23,0.18774155899882317
dq_int8_linear_emb,INT8 per-ch. + 8-bit emb.,66.95501,0.06221,66.8928,0.0,1.0760654267889906,5.587404288,99.36559483879384,67.14164,68.157111,217.563136,739.274752,15.588198050588515,3.5325419289642235,14.997249993029982,22.040254983585314,18.58844204904762,90.13761467889908,0.9010241790729596,1.2731524999835528,3.930035810936881,2.81673973733898,2.7861278062417356,-0.9174311926605583,96.10091743119266,13,21,0.22948101302608848
